CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2024,3,07133990,10,359,SP,1,817800,8,8,21
2024,10,10059010,10,399,MS,1,927700,7066836,7066836,1318865
2024,7,10059010,10,647,PA,1,217800,486373,486373,105105
2024,7,09011110,21,190,GO,1,817800,25,24603,129743
2024,8,07133590,10,434,SP,1,812051,20,20,39
2024,11,10063021,10,163,SP,1,817800,220,220,287
2024,2,10063019,10,301,AL,1,440151,30,30,50
2024,10,10059010,10,161,MT,1,817800,189920941,189920941,36597404
2024,3,09011110,21,87,SP,1,817800,921,920533,3353719
2024,5,12019000,21,160,MG,1,817800,841653,841651719,359596909
2024,8,10059010,10,53,MA,1,317903,31267988,31267988,5866843
2024,4,12019000,21,160,PR,1,917800,802685,802682932,342701975
2024,9,09011110,21,87,MG,1,817800,46249,14643138,72213902
2024,8,07133190,10,77,SC,1,927700,15,15,42
2024,5,10063021,10,434,PR,1,917800,500,500,859
2024,12,09011110,21,87,MG,1,817800,25015,10295124,56654609
2024,1,09011110,21,538,SP,1,817800,124,124750,471565
2024,7,07136090,10,580,PA,0,210200,50,50,90
2024,2,07133329,10,607,SC,1,927700,13000,13000,18560
2024,8,09011110,21,87,MG,0,9999999,540,540000,2175210
2024,6,12019000,21,493,MT,1,210200,25800,25800000,11716555
2024,12,09011110,21,301,BA,1,717600,53,52800,224928
2024,10,09011110,21,431,MG,1,717600,581,582420,2554632
2024,3,09011110,21,386,BA,1,517800,19200,19200,60800
2024,12,09011110,21,87,MG,1,717600,398,398100,1994593
2024,6,09011110,21,628,SP,1,817800,153,153525,666951
2024,5,12019000,21,160,SC,1,927700,145074,145073554,60732271
2024,2,10059010,10,607,MG,1,817800,224,224,492
2024,8,09011110,21,365,MG,1,717800,26,26400,94776
2024,9,10063021,10,467,PR,1,917800,100,100,58
2024,7,09011110,21,455,MG,1,817800,505,505750,2287647
2024,9,07133319,10,607,SC,1,917800,20,20,61
2024,4,10061092,10,434,AM,1,227600,810,810,1573
2024,4,07133399,10,538,MA,1,317903,8,8,29
2024,8,09011110,21,63,ES,7,1017500,919,918440,3929766
2024,2,12019000,21,160,SP,1,817800,304269,304270285,132349319
2024,5,10061092,10,850,RS,1,1017700,25070240,25070240,8726909
2024,4,09011110,21,80,MG,1,817800,10,9570,44025
2024,11,10081090,10,137,PR,1,917800,2,2,5
2024,5,07082000,10,476,PR,1,917800,91,91,214
2024,8,09011110,21,386,MG,1,717600,952,952800,4384589
2024,8,07133399,10,845,RS,7,1017701,24000,24000,37320
2024,10,10059010,10,160,MT,1,817800,84179069,84179069,15580283
2024,8,07133319,10,386,SP,1,717800,12,12,31
2024,3,09011110,21,301,ES,1,717800,178,177600,624468
2024,2,09011110,21,301,ES,1,717600,57,57600,168563
2024,2,10059010,10,647,MT,1,210200,60027350,60027350,13013148
2024,11,10063021,10,580,SP,1,817800,1915,1915,4417
2024,4,09011110,21,670,MG,1,817800,221,220800,796906
2024,7,07082000,10,434,SP,1,817800,39,39,144
2024,3,07133329,10,434,SC,1,927800,5,5,20
2024,8,12019000,21,160,SP,1,917800,44574,44573623,19637009
2024,1,11042300,10,249,MG,1,817800,13070,13070,27737
2024,12,10063021,10,301,SP,1,812051,100,100,118
2024,1,10059010,10,403,MA,1,317903,33255170,33255170,7578210
2024,1,07133290,10,361,MT,1,917800,23650,23650,10051
2024,11,09011110,21,87,MG,1,717600,105,105480,489155
2024,6,07133399,10,434,MA,1,317903,13,13,95
2024,4,09011110,21,455,MG,1,817800,1265,1265700,4771745
2024,3,10019900,10,776,RS,1,1017700,88234495,88234495,18871522
2024,2,10063021,10,476,ES,1,727600,1535,1535,3252
2024,1,07133319,10,770,AP,9,240151,150,150,282
2024,8,12019000,21,245,PI,1,517800,341,340547,148776
2024,10,09011110,21,87,MG,0,9999999,620,620000,2455934
2024,8,09011110,21,246,MG,1,717800,26,26400,99000
2024,4,10079000,10,756,BA,1,927502,2,2,0
2024,10,10059010,10,403,TO,1,317903,7643209,7643209,1528406
2024,10,10059010,10,647,PA,1,210200,6100000,6100000,1205968
2024,7,07133319,10,317,PR,1,917800,1232750,1232750,1096206
2024,3,07133399,10,573,SP,1,817800,703,703,1633
2024,11,10063019,10,628,SP,1,717800,750,750,232
2024,8,07133329,10,476,ES,1,727600,10,10,16
2024,12,10059010,10,474,MA,1,317903,16994770,16994770,3530257
2024,9,07081000,10,580,SC,1,917800,35,35,28
2024,2,09011110,21,161,SP,1,817800,289,287605,970775
2024,12,10051000,10,589,MT,4,817700,4,4,38
2024,3,10059010,10,325,AP,15,240151,112,112,66
2024,12,07133190,10,476,PE,1,417902,3,3,24
2024,12,12019000,21,369,SC,1,917800,5753,5753970,2452621
2024,10,07133590,10,351,SC,1,927700,5,5,30
2024,10,07133990,10,361,MT,1,817800,251710,251710,182414
2024,10,12019000,21,776,PI,1,317903,54168,54169331,22907585
2024,2,10063021,10,434,SP,1,817800,2775,2775,5409
2024,11,10063019,10,580,SP,1,817800,1500,1500,403
2024,4,12019000,21,81,MA,1,317903,37344,37343896,16011260
2024,6,07082000,10,351,SP,1,717800,5,5,44
2024,5,07131090,10,476,SP,1,817800,25,25,226
2024,5,09011110,21,676,ES,1,717600,1239,1237615,3911183
2024,12,10062020,10,88,PR,1,917800,100,100,76
2024,3,10059010,10,434,RS,1,1017800,5,5,12
2024,2,07133110,10,476,AL,1,517800,10,10,62
2024,3,10059010,10,249,GO,1,817800,300,300,450
2024,8,07136090,10,476,PA,0,210200,10,10,14
2024,8,09011110,21,160,MG,1,817800,1600,1600420,6718299
